"date","close","volume","open","high","low"

"2015/09/18","29.1000","3260871.0000","29.3800","29.6650","28.9900"
"2015/09/17","29.8500","2484492.0000","29.9900","30.4800","29.6750"
"2015/09/16","29.9200","2580316.0000","29.4800","29.9950","29.2400"
"2015/09/15","29.3800","2621393.0000","29.0800","29.5200","28.9400"
"2015/09/14","28.9900","2217103.0000","29.3200","29.3900","28.9300"
"2015/09/11","29.4400","2489123.0000","29.4500","29.4900","28.9500"
"2015/09/10","29.5100","3545861.0000","29.1700","29.7100","29.0000"
"2015/09/09","29.0600","5076641.0000","30.2800","30.4100","28.9600"
"2015/09/08","30.1500","4441041.0000","29.7500","30.2100","29.4400"
"2015/09/04","29.1600","2842648.0000","29.4700","29.6500","28.8600"
"2015/09/03","29.8500","3376999.0000","29.4600","30.2400","29.4600"
"2015/09/02","29.8000","4558418.0000","30.0000","30.0000","29.2050"
"2015/09/01","29.5900","4345351.0000","29.6700","30.1800","29.4400"
"2015/08/31","30.2500","4822828.0000","29.9500","30.7900","29.9300"
"2015/08/28","29.9600","3391740.0000","29.8000","30.4900","29.6833"
"2015/08/27","30.1000","3721829.0000","29.7400","30.2300","29.5300"
"2015/08/26","29.4000","4965303.0000","29.0000","29.4700","28.6001"
"2015/08/25","28.4000","5923877.0000","29.4500","29.7400","28.3900"
"2015/08/24","28.7200","8649581.0000","28.7000","29.7900","27.6200"
"2015/08/21","30.7100","6044843.0000","30.9500","30.9600","30.2400"
"2015/08/20","31.2100","3258897.0000","31.8000","31.8000","31.1900"
"2015/08/19","32.0800","2453590.0000","32.3500","32.4700","31.9000"
"2015/08/18","32.6300","5705448.0000","32.6500","33.1400","32.4600"
"2015/08/17","32.0200","2546448.0000","31.8500","32.0500","31.5629"
"2015/08/14","31.9300","3795853.0000","31.6000","32.2400","31.4200"
"2015/08/13","31.4600","4807362.0000","31.2000","31.7000","30.9400"
"2015/08/12","31.1900","9381722.0000","32.1200","32.1600","30.6700"
"2015/08/11","32.6400","3193351.0000","32.3800","32.7700","32.3800"
"2015/08/10","33.0700","4402163.0000","33.2300","33.3499","32.9500"
"2015/08/07","33.0700","6916346.0000","31.9600","33.4000","31.9200"
"2015/08/06","31.5600","4301642.0000","31.7800","31.9200","31.1700"
"2015/08/05","31.7300","6206047.0000","31.7100","31.8600","31.2500"
"2015/08/04","31.4100","13235640.0000","32.0000","32.6770","30.5000"
"2015/08/03","30.4300","7953432.0000","30.6100","30.6100","29.9200"
"2015/07/31","31.2000","4148760.0000","31.3300","31.5100","31.1400"
"2015/07/30","31.3000","2371046.0000","31.2900","31.4100","31.0700"
"2015/07/29","31.4500","3976420.0000","30.8600","31.6900","30.7700"
"2015/07/28","30.8800","3827956.0000","30.7800","31.1900","30.5000"
"2015/07/27","30.7500","5609981.0000","30.3100","30.7800","30.1300"
"2015/07/24","30.4700","3619948.0000","30.9300","31.0700","30.3100"
"2015/07/23","31.0000","3322999.0000","31.4200","31.6400","30.9700"
"2015/07/22","31.0500","4606457.0000","31.3000","31.4600","30.9300"
"2015/07/21","31.3600","4888487.0000","31.6800","31.8200","31.1000"
