"date","close","volume","open","high","low"

"2015/09/18","48.3600","12755080.0000","49.1500","49.5200","47.9300"
"2015/09/17","50.1300","14767480.0000","49.4100","50.9100","49.0600"
"2015/09/16","49.4700","11343490.0000","47.7100","49.5400","47.6400"
"2015/09/15","47.2800","6669975.0000","47.1500","47.7900","47.1100"
"2015/09/14","46.7700","8767911.0000","47.1200","47.1499","46.3400"
"2015/09/11","47.3600","9263375.0000","47.7400","47.7600","46.9500"
"2015/09/10","48.4300","8847561.0000","48.0000","48.7500","47.3300"
"2015/09/09","47.8500","16198710.0000","49.0500","49.7000","47.5900"
"2015/09/08","48.4600","13561310.0000","48.2700","48.6800","47.1500"
"2015/09/04","47.2000","10515780.0000","47.2100","47.6001","46.8600"
"2015/09/03","48.1800","9688460.0000","48.5000","49.8700","47.7700"
"2015/09/02","48.1900","11262630.0000","48.3000","48.6600","47.0000"
"2015/09/01","47.7500","17186100.0000","48.1700","48.1700","46.7900"
"2015/08/31","49.1500","17763340.0000","46.3000","49.3200","45.7001"
"2015/08/28","46.8200","14901690.0000","45.5600","48.0000","45.5600"
"2015/08/27","45.8700","19322600.0000","44.6200","46.5300","44.4500"
"2015/08/26","43.4100","18985150.0000","42.9300","43.5700","42.2500"
"2015/08/25","42.1900","15781960.0000","45.0200","45.0200","42.1400"
"2015/08/24","42.9300","21253390.0000","41.9800","44.9300","41.1000"
"2015/08/21","45.3900","13846790.0000","46.6600","47.3800","45.3800"
"2015/08/20","47.0000","10549520.0000","47.4500","48.0950","47.0000"
"2015/08/19","47.6800","14525500.0000","49.2800","49.2800","47.0500"
"2015/08/18","49.5100","7309609.0000","49.6200","49.7900","49.1250"
"2015/08/17","49.5600","5803802.0000","49.4800","49.8100","49.2600"
"2015/08/14","49.7700","7850377.0000","49.9900","50.2900","49.6900"
"2015/08/13","50.1000","10036330.0000","51.0000","51.0500","49.8600"
"2015/08/12","51.5400","14026050.0000","50.2100","51.8750","50.1500"
"2015/08/11","50.4000","10711940.0000","49.2800","50.5200","49.0600"
"2015/08/10","50.2000","10567310.0000","48.8900","50.2100","48.5500"
"2015/08/07","48.8400","10278440.0000","50.2500","50.6500","48.6050"
"2015/08/06","50.2800","11634160.0000","48.8900","50.3600","48.3300"
"2015/08/05","49.1200","8045631.0000","50.3000","50.8500","49.0300"
"2015/08/04","49.8700","7685982.0000","49.5900","50.3400","49.5900"
"2015/08/03","49.7100","11237610.0000","49.8000","50.4700","49.3300"
"2015/07/31","50.3400","12186280.0000","51.4300","51.4500","50.2500"
"2015/07/30","52.0700","10072560.0000","52.9900","53.2900","51.8800"
"2015/07/29","52.9000","11814690.0000","52.0500","53.4400","52.0000"
"2015/07/28","52.2400","13382250.0000","50.9400","52.9600","50.8700"
"2015/07/27","50.6500","14253700.0000","51.3400","52.0200","50.5400"
"2015/07/24","52.0900","13235740.0000","53.9500","53.9500","51.9800"
"2015/07/23","54.0400","12055520.0000","55.1000","55.3100","53.3000"
"2015/07/22","55.8300","10370600.0000","56.2900","56.3900","55.6700"
"2015/07/21","56.4900","8416814.0000","56.7600","57.1600","56.1700"
"2015/07/20","56.5700","8084281.0000","57.1800","57.2000","56.1600"
"2015/07/17","57.2000","7362713.0000","57.6000","57.8900","56.6500"
"2015/07/16","57.9500","5321933.0000","58.6100","58.7800","57.6801"
"2015/07/15","58.4200","5229227.0000","59.1100","59.5500","58.1300"
"2015/07/14","59.5300","5479959.0000","58.7500","59.7400","58.6900"
"2015/07/13","58.9300","4904200.0000","59.1100","59.2000","58.6400"
"2015/07/10","59.1300","4958645.0000","59.3100","59.5400","58.6700"
"2015/07/09","58.6700","5435915.0000","59.6500","59.7600","58.6600"
"2015/07/08","58.3600","5626682.0000","59.1400","59.7200","58.0800"
"2015/07/07","59.6500","7124980.0000","58.9000","59.9000","58.2400"
"2015/07/06","59.0600","7552931.0000","59.5200","59.7553","58.7200"
"2015/07/02","60.5200","6775479.0000","60.1800","60.7700","60.1800"
"2015/07/01","60.0300","7393392.0000","61.5100","61.5100","59.6900"
"2015/06/30","61.4100","5356225.0000","61.5300","61.6100","60.8600"
"2015/06/29","61.0100","5250572.0000","61.4200","61.7400","61.0000"
"2015/06/26","62.1800","6684150.0000","62.1500","62.2800","61.7200"
"2015/06/25","62.2200","4706319.0000","63.1700","63.1700","62.1300"
"2015/06/24","62.8300","3974373.0000","63.1300","63.5499","62.8300"
"2015/06/23","63.1700","3635955.0000","62.6800","63.3500","62.5100"
"2015/06/22","62.5800","4356607.0000","62.4800","62.9652","62.1900"
"2015/06/19","62.3500","13104450.0000","62.5500","63.2800","62.1300"
"2015/06/18","62.9300","5412583.0000","63.1500","63.5000","62.8000"
"2015/06/17","63.0900","4737483.0000","63.8800","64.1300","62.7100"
"2015/06/16","63.4300","5310277.0000","63.4400","63.5500","62.6899"
"2015/06/15","63.2700","4710205.0000","63.0800","63.6400","62.8001"
"2015/06/12","63.5100","4990728.0000","63.7600","63.8500","63.1250"
"2015/06/11","64.0300","3889226.0000","63.9700","64.2400","63.8500"
"2015/06/10","64.0200","4767801.0000","63.9100","64.2401","63.4900"
"2015/06/09","63.0600","6315060.0000","63.7800","64.3300","63.0600"
"2015/06/08","63.4300","6629811.0000","62.9200","63.4700","62.7800"
"2015/06/05","63.0400","5808271.0000","62.7600","64.2200","62.7100"
"2015/06/04","63.0000","5360628.0000","63.4100","63.7400","62.9300"
"2015/06/03","63.8000","5380761.0000","63.8100","64.2900","63.6200"
"2015/06/02","64.0700","5076338.0000","63.7000","64.3156","63.4050"
"2015/06/01","63.6100","4140426.0000","64.4600","64.4700","63.2400"
"2015/05/29","63.6800","5700617.0000","63.7000","64.0800","63.4400"
"2015/05/28","63.8600","5192453.0000","63.5300","63.9500","63.1100"
"2015/05/27","63.8200","6754664.0000","63.9400","64.9900","63.6950"
"2015/05/26","63.8400","6119109.0000","64.5700","64.8200","63.5000"
"2015/05/22","65.1100","3804557.0000","65.0400","65.6600","64.9000"
"2015/05/21","65.5800","5419464.0000","65.1300","65.7500","64.8700"
"2015/05/20","64.7800","4831301.0000","64.7500","64.9500","64.1200"
"2015/05/19","65.1200","7936300.0000","65.7500","65.7500","65.1100"
"2015/05/18","66.0400","5152556.0000","65.7500","66.2200","65.1800"
"2015/05/15","65.7600","4727931.0000","65.2500","66.0600","65.0600"
"2015/05/14","65.4200","4344377.0000","65.5400","66.1100","65.3300"
"2015/05/13","65.3900","5423001.0000","65.8000","66.0300","65.1500"
"2015/05/12","65.4000","4691586.0000","65.2900","65.6500","65.0500"
"2015/05/11","65.2800","7249426.0000","67.1200","67.2000","65.1100"
"2015/05/08","67.1700","5961024.0000","67.1400","67.3700","66.3600"
"2015/05/07","66.6200","6293454.0000","67.5300","67.5300","66.1000"
