"date","close","volume","open","high","low"

"2015/09/18","33.6800","4335266.0000","34.4400","34.8500","33.3400"
"2015/09/17","35.3800","4027016.0000","35.9200","36.5700","35.0500"
"2015/09/16","35.9300","5023810.0000","34.4500","36.0250","34.3300"
"2015/09/15","34.0100","2440724.0000","33.7000","34.3600","33.4300"
"2015/09/14","33.5100","2732461.0000","33.9700","33.9900","33.2200"
"2015/09/11","34.1300","3908106.0000","33.7600","34.2500","33.2400"
"2015/09/10","34.4700","4979769.0000","34.2200","34.8700","33.8500"
"2015/09/09","33.9500","4072181.0000","34.5700","35.7600","33.7900"
"2015/09/08","34.1400","3828406.0000","33.4900","34.4500","32.8900"
"2015/09/04","33.2100","3122777.0000","32.4100","33.5000","32.3000"
"2015/09/03","33.1400","3316770.0000","33.0900","34.4000","32.5100"
"2015/09/02","32.8200","3644573.0000","32.4500","32.8700","31.1200"
"2015/09/01","31.8600","5759108.0000","32.2900","33.3200","31.5250"
"2015/08/31","33.3100","5124872.0000","31.0400","33.6800","30.4400"
"2015/08/28","31.6000","7266437.0000","30.3800","32.3100","30.3200"
"2015/08/27","30.7000","5860797.0000","29.1500","31.7800","28.9100"
"2015/08/26","28.0600","4437728.0000","27.8500","28.1500","27.0000"
"2015/08/25","27.0500","3463234.0000","29.2600","29.2600","27.0300"
"2015/08/24","27.6300","7626058.0000","28.8400","29.8700","26.7800"
"2015/08/21","30.8200","5342927.0000","32.1300","32.7800","30.7500"
"2015/08/20","32.5000","3628278.0000","33.8200","34.0200","32.4900"
"2015/08/19","33.9300","4245140.0000","34.8800","35.1850","32.8800"
"2015/08/18","35.3000","2502252.0000","35.3700","35.5900","34.7300"
"2015/08/17","35.4800","2431609.0000","35.8600","36.2800","35.1900"
"2015/08/14","36.1900","2478594.0000","36.0300","36.6100","35.3000"
"2015/08/13","36.0800","2385443.0000","36.0700","36.4900","35.4240"
"2015/08/12","36.6100","3546250.0000","35.1600","36.6800","35.1400"
"2015/08/11","35.3600","2415626.0000","34.5900","35.4500","34.3000"
"2015/08/10","35.6500","4710077.0000","34.3600","35.7300","33.2200"
"2015/08/07","34.2300","3788463.0000","34.6200","35.4000","34.0200"
"2015/08/06","34.7700","4450950.0000","32.5300","34.8500","32.2100"
"2015/08/05","32.5500","9545032.0000","33.7400","34.2300","31.5300"
"2015/08/04","32.6500","5841097.0000","32.6300","33.3800","32.2400"
"2015/08/03","32.4400","4020783.0000","32.3100","33.2200","32.0300"
"2015/07/31","32.7900","3189762.0000","33.1700","33.6300","32.6600"
"2015/07/30","33.3600","4420313.0000","32.8000","33.6700","32.1900"
"2015/07/29","32.8800","5450208.0000","31.3800","32.9600","30.8300"
"2015/07/28","31.5300","5375790.0000","31.0400","31.8100","29.8400"
"2015/07/27","30.8800","7818911.0000","32.0800","32.6000","30.1500"
"2015/07/24","32.7800","2516531.0000","33.6800","33.7600","32.5000"
"2015/07/23","33.7200","3616319.0000","33.4600","33.9200","32.6700"
"2015/07/22","33.4000","3013080.0000","33.5300","34.0500","33.1700"
"2015/07/21","33.8300","3011136.0000","33.9500","34.6900","33.7000"
"2015/07/20","33.6100","4855116.0000","34.0100","34.1800","33.1100"
"2015/07/17","34.1400","2903399.0000","35.1700","35.1700","33.8400"
"2015/07/16","35.3000","3357700.0000","35.1300","35.4250","34.2750"
"2015/07/15","34.7800","2533182.0000","36.0700","36.2300","34.3300"
"2015/07/14","36.5300","1946014.0000","35.5900","36.7700","35.5100"
"2015/07/13","35.7000","1845183.0000","35.4800","35.8600","35.0300"
"2015/07/10","35.4700","2892318.0000","35.7600","36.0200","35.0700"
"2015/07/09","35.4600","2214312.0000","35.5500","36.0700","35.1900"
"2015/07/08","34.8500","4665949.0000","35.5000","36.0600","34.7100"
"2015/07/07","35.6300","3548223.0000","34.3700","35.8100","33.5100"
"2015/07/06","34.3600","3350443.0000","34.0600","34.8700","33.6800"
"2015/07/02","35.0400","1837805.0000","35.2800","35.9400","34.8900"
"2015/07/01","35.2600","4699787.0000","36.0700","36.4200","34.7400"
"2015/06/30","36.1200","2913421.0000","35.5500","36.2900","35.0700"
"2015/06/29","34.8400","3675732.0000","35.9200","36.2550","34.8300"
"2015/06/26","36.4700","4656256.0000","37.4800","37.6700","36.4000"
"2015/06/25","37.6300","2688553.0000","38.1200","38.3400","37.6200"
"2015/06/24","37.9700","1537342.0000","37.8400","38.6400","37.7600"
"2015/06/23","37.9500","2329589.0000","37.0500","38.0300","37.0300"
"2015/06/22","37.1700","1623758.0000","36.8800","37.3450","36.5100"
"2015/06/19","36.7600","3770912.0000","37.0600","37.4800","36.3900"
"2015/06/18","37.3800","2573242.0000","37.4300","38.0700","37.2100"
"2015/06/17","36.9000","2507564.0000","37.8000","38.0000","36.8500"
"2015/06/16","37.4000","1907476.0000","36.3600","37.4200","36.3000"
"2015/06/15","36.3700","2167335.0000","36.2900","36.7900","36.0700"
"2015/06/12","36.6700","2151246.0000","37.0700","37.3200","36.5950"
"2015/06/11","37.4400","1354624.0000","38.0500","38.2900","37.4200"
"2015/06/10","37.9200","1721204.0000","37.9400","38.2700","37.4000"
"2015/06/09","37.2600","2410634.0000","37.5400","38.1600","37.2300"
"2015/06/08","36.9500","2538610.0000","37.0600","37.5000","36.7200"
"2015/06/05","37.3000","2357958.0000","35.7700","37.7100","35.7000"
"2015/06/04","36.1500","2152228.0000","36.0100","36.3350","35.4800"
"2015/06/03","36.2600","2266226.0000","37.1900","37.7100","36.1950"
"2015/06/02","37.3700","2723727.0000","37.6400","38.0800","37.2100"
"2015/06/01","37.3300","3453595.0000","37.8800","37.8800","37.0350"
"2015/05/29","37.8100","2616883.0000","36.9000","38.1700","36.6300"
"2015/05/28","36.7900","1836556.0000","37.2400","37.2700","36.1100"
"2015/05/27","37.3800","1627621.0000","37.0000","37.7500","36.6500"
"2015/05/26","37.2900","1333768.0000","37.5600","38.0598","37.1300"
"2015/05/22","38.0400","1781033.0000","37.8300","38.4800","37.6600"
"2015/05/21","38.2900","2516239.0000","37.7000","38.4500","37.7000"
"2015/05/20","37.4000","3647083.0000","37.1100","38.0900","36.7600"
"2015/05/19","36.9700","3448440.0000","36.2500","37.0750","35.8600"
"2015/05/18","36.7400","3430078.0000","35.9600","36.8450","35.4800"
"2015/05/15","35.5400","2517900.0000","34.4200","35.7700","33.9600"
"2015/05/14","34.5400","3157542.0000","35.4500","35.7900","34.4700"
"2015/05/13","35.3400","1835202.0000","36.2300","36.3200","35.0000"
"2015/05/12","35.9500","2544730.0000","36.0200","36.5400","35.6200"
"2015/05/11","35.9300","2645043.0000","36.9000","36.9000","35.5200"
"2015/05/08","36.4400","3087404.0000","35.6400","36.5100","35.0100"
"2015/05/07","35.2400","4086310.0000","36.0600","36.2900","34.8900"
"2015/05/06","36.0500","5940360.0000","37.4800","37.5300","34.7800"
"2015/05/05","36.9900","5522629.0000","39.9800","39.9800","36.7100"
"2015/05/04","38.9900","1984706.0000","39.0900","39.6000","38.4200"
