Date	Price	Open	High	Low	Change %	helper
2-Feb-12	6.1	6.1	6.1	6.1	0.33	1
3-Feb-12	5.96	5.96	5.96	5.96	-2.3	2
4-Feb-12	5.87	5.87	5.87	5.87	-1.51	3
5-Feb-12	5.69	5.69	5.69	5.69	-3.07	4
6-Feb-12	5.45	5.45	5.45	5.45	-4.22	5
7-Feb-12	5.69	5.69	5.69	5.69	4.4	6
8-Feb-12	5.6	5.6	5.6	5.6	-1.58	7
9-Feb-12	5.83	5.83	5.83	5.83	4.11	8
10-Feb-12	5.91	5.91	5.91	5.91	1.37	9
11-Feb-12	5.6	5.6	5.6	5.6	-5.25	10
12-Feb-12	5.51	5.51	5.51	5.51	-1.61	11
13-Feb-12	5.26	5.26	5.26	5.26	-4.54	12
14-Feb-12	4.46	4.46	4.46	4.46	-15.21	13
15-Feb-12	4.33	4.33	4.33	4.33	-2.91	14
16-Feb-12	4.27	4.27	4.27	4.27	-1.39	15
17-Feb-12	4.41	4.41	4.41	4.41	3.28	16
18-Feb-12	4.22	4.22	4.22	4.22	-4.31	17
19-Feb-12	4.39	4.39	4.39	4.39	4.03	18
20-Feb-12	4.36	4.36	4.36	4.36	-0.68	19
21-Feb-12	4.27	4.27	4.27	4.27	-2.06	20
22-Feb-12	4.42	4.42	4.42	4.42	3.51	21
23-Feb-12	5.01	5.01	5.01	5.01	13.35	22
24-Feb-12	5.03	5.03	5.03	5.03	0.4	23
25-Feb-12	4.77	4.77	4.77	4.77	-5.17	24
26-Feb-12	4.92	4.92	4.92	4.92	3.14	25
27-Feb-12	4.96	4.96	4.96	4.96	0.81	26
28-Feb-12	4.87	4.87	4.87	4.87	-1.81	27
29-Feb-12	4.86	4.86	4.86	4.86	-0.21	28
1-Mar-12	4.92	4.92	4.92	4.92	1.23	29
2-Mar-12	4.7	4.7	4.7	4.7	-4.47	30
3-Mar-12	4.61	4.61	4.61	4.61	-1.91	31
4-Mar-12	4.82	4.82	4.82	4.82	4.56	32
5-Mar-12	4.98	4.98	4.98	4.98	3.32	33
6-Mar-12	4.99	4.99	4.99	4.99	0.2	34
7-Mar-12	4.94	4.94	4.94	4.94	-1	35
8-Mar-12	4.93	4.93	4.93	4.93	-0.2	36
9-Mar-12	4.86	4.86	4.86	4.86	-1.42	37
10-Mar-12	4.83	4.83	4.83	4.83	-0.62	38
11-Mar-12	4.91	4.91	4.91	4.91	1.66	39
12-Mar-12	4.89	4.89	4.89	4.89	-0.41	40
13-Mar-12	5.27	5.27	5.27	5.27	7.77	41
14-Mar-12	5.38	5.38	5.38	5.38	2.09	42
15-Mar-12	5.33	5.33	5.33	5.33	-0.93	43
16-Mar-12	5.34	5.34	5.34	5.34	0.19	44
17-Mar-12	5.22	5.22	5.22	5.22	-2.25	45
18-Mar-12	5.28	5.28	5.28	5.28	1.15	46
19-Mar-12	4.69	4.69	4.69	4.69	-11.17	47
20-Mar-12	4.84	4.84	4.84	4.84	3.2	48
21-Mar-12	4.81	4.81	4.81	4.81	-0.62	49
22-Mar-12	4.7	4.7	4.7	4.7	-2.29	50
23-Mar-12	4.69	4.69	4.69	4.69	-0.21	51
24-Mar-12	4.68	4.68	4.68	4.68	-0.21	52
25-Mar-12	4.55	4.55	4.55	4.55	-2.78	53
26-Mar-12	4.62	4.62	4.62	4.62	1.54	54
27-Mar-12	4.81	4.81	4.81	4.81	4.11	55
28-Mar-12	4.79	4.79	4.79	4.79	-0.42	56
29-Mar-12	4.81	4.81	4.81	4.81	0.42	57
30-Mar-12	4.86	4.86	4.86	4.86	1.04	58
31-Mar-12	4.91	4.91	4.91	4.91	1.03	59
1-Apr-12	4.83	4.83	4.83	4.83	-1.63	60
2-Apr-12	4.97	4.97	4.97	4.97	2.9	61
3-Apr-12	4.95	4.95	4.95	4.95	-0.4	62
4-Apr-12	4.91	4.91	4.91	4.91	-0.81	63
5-Apr-12	4.92	4.92	4.92	4.92	0.2	64
6-Apr-12	4.95	4.95	4.95	4.95	0.61	65
7-Apr-12	4.69	4.69	4.69	4.69	-5.25	66
8-Apr-12	4.79	4.79	4.79	4.79	2.13	67
9-Apr-12	4.87	4.87	4.87	4.87	1.67	68
10-Apr-12	4.84	4.84	4.84	4.84	-0.62	69
11-Apr-12	4.93	4.93	4.93	4.93	1.86	70
12-Apr-12	4.92	4.92	4.92	4.92	-0.2	71
13-Apr-12	4.94	4.94	4.94	4.94	0.41	72
14-Apr-12	4.96	4.96	4.96	4.96	0.4	73
15-Apr-12	4.97	4.97	4.97	4.97	0.2	74
16-Apr-12	4.93	4.93	4.93	4.93	-0.8	75
17-Apr-12	4.98	4.98	4.98	4.98	1.01	76
18-Apr-12	5.12	5.12	5.12	5.12	2.81	77
19-Apr-12	5.14	5.14	5.14	5.14	0.39	78
20-Apr-12	5.35	5.35	5.35	5.35	4.09	79
21-Apr-12	5.26	5.26	5.26	5.26	-1.68	80
22-Apr-12	5.2	5.2	5.2	5.2	-1.14	81
23-Apr-12	4.96	4.96	4.96	4.96	-4.62	82
24-Apr-12	5.1	5.1	5.1	5.1	2.82	83
25-Apr-12	5.13	5.13	5.13	5.13	0.59	84
26-Apr-12	5.1	5.1	5.1	5.1	-0.58	85
27-Apr-12	5.11	5.11	5.11	5.11	0.2	86
28-Apr-12	4.98	4.98	4.98	4.98	-2.54	87
29-Apr-12	4.9	4.9	4.9	4.9	-1.61	88
30-Apr-12	4.95	4.95	4.95	4.95	1.02	89
