Date,Open,High,Low,Close,Volume,Market Cap,Positive Tweets,Negative Tweets
41392,135.3,135.98,132.1,134.21,39662717.01679064,1500520000,27,8
41393,134.44,147.49,134,144.54,39662716.82987938,1491160000,25,3
41394,144,146.93,134.05,139,39662716.66215576,1597780000,19,4
41395,139,139.89,107.72,116.99,39662716.52785067,1542820000,28,6
41396,116.38,125.6,92.28,105.21,39662716.4410331,1292190000,25,10
41397,106.25,108.13,79.09999999999999,97.75,39662716.41450892,1180070000,26,12
41398,98.09999999999999,115,92.5,112.5,39662716.45867316,1089890000,17,11
41399,112.9,118.8,107.14,115.91,39662716.58042493,1254760000,16,12
41400,115.98,124.66,106.64,112.3,39662716.78224873,1289470000,17,9
41401,112.25,113.44,97.7,111.5,39662717.06153315,1248470000,24,7
41402,109.6,115.78,109.6,113.57,39662717.41018213,1219450000,24,11
41403,113.2,113.46,109.26,112.67,39662717.81455554,1259980000,24,13
41404,112.8,122,111.55,117.2,39662718.25576553,1255970000,26,10
41405,117.7,118.68,113.01,115.24,39662718.71032328,1311050000,19,11
41406,115.64,117.45,113.44,115,39662719.15111223,1288630000,28,7
41407,114.82,118.7,114.5,117.98,39662719.54864176,1279980000,20,14
41408,117.98,119.8,110.25,111.5,39662719.87253642,1315720000,35,12
41409,111.4,115.81,103.5,114.22,39662720.09319814,1242760000,24,15
41410,114.22,118.76,112.2,118.76,39662720.18357295,1274620000,21,7
41411,118.21,125.3,116.57,123.02,39662720.12095199,1319590000,26,9
41412,123.5,125.25,122.3,123.5,39662719.88873051,1379140000,22,6
41413,123.21,124.5,119.57,121.99,39662719.47804397,1376370000,21,9
41414,122.5,123.62,120.12,122,39662718.88919667,1368910000,30,8
41415,122.02,123,121.21,122.88,39662718.13281558,1363940000,22,7
41416,122.89,124,122,123.89,39662717.23066697,1374130000,20,12
41417,123.8,126.93,123.1,126.7,39662716.21608725,1384780000,22,9
41418,126.3,133.85,125.72,133.2,39662715.13429414,1413300000,21,7
41419,133.1,133.22,128.9,131.98,39662714.04237532,1489950000,29,9
41420,131.99,136,130.62,133.48,39662713.00840437,1478030000,20,11
41421,133.5,135.47,124.7,129.75,39662712.10931011,1495520000,25,8
41422,129.77,130.58,125.6,129,39662711.42722968,1454310000,29,16
41423,129,132.59,127.66,132.3,39662711.04420744,1446190000,23,13
41424,132.25,132.25,127,128.8,39662711.03563046,1483180000,29,11
41425,128.8,129.9,126.4,129,39662711.4627235,1445050000,27,11
41426,128.81,129.78,127.2,129.3,39662712.36439311,1445800000,19,11
41427,129.3,129.4,115.05,122.29,39662713.74968841,1451930000,18,14
41428,122.5,122.5,116,122.22,39662715.59225945,1376180000,17,11
41429,120.74,123.84,119.1,121.42,39662717.82776446,1357020000,31,7
41430,121.4,123.47,119.9,121.65,39662720.35472935,1365110000,22,11
41431,121.9,123.1,117.25,118,39662723.03878646,1371300000,23,11
41432,118.97,119,106.42,111.5,39662725.71935039,1338880000,25,14
41433,111,111.42,107.3,108.3,39662728.21830047,1249630000,19,10
41434,107.89,108.99,88.5,100,39662730.35013109,1215130000,19,7
41435,100.44,110.1,95,106.35,39662731.93327546,1131570000,23,10
41436,106.35,109.6,104,108.9,39662732.80161361,1198640000,28,1
41437,109,111.79,106.73,108.15,39662732.81556974,1229000000,22,10
41438,108.78,110.3,100.53,104,39662731.87205769,1227030000,26,12
41439,103.95,104.7,98,99.98,39662729.91327053,1173060000,33,14
41440,100,103.7,98,99.98999999999999,39662726.9337115,1128950000,35,14
41441,99.8,101.6,98.95,99.51000000000001,39662722.98519186,1127120000,31,15
41442,99.90000000000001,102.21,99,101.7,39662718.17970218,1128720000,30,10
41443,101.95,111.11,101.03,107.4,39662712.68986495,1152250000,35,14
41444,107.05,110.22,105.75,108.25,39662706.74676119,1210260000,31,12
41445,108.25,114.3,107.5,110.15,39662700.63493057,1224210000,34,19
41446,111.29,114.99,107.69,109.5,39662694.68500187,1259000000,33,11
41447,109.5,109.96,107.51,108.3,39662689.26406011,1239210000,39,13
41448,108.2,108.8,106.23,107.6,39662684.76411553,1224980000,28,19
41449,107.9,108.33,100.98,102.74,39662681.59870789,1222030000,28,19
41450,102.09,106.47,101.01,103.95,39662680.19289169,1156610000,40,13
41451,103.33,105.49,102.79,104,39662680.95530485,1171050000,31,18
41452,104,104,101.1,101.44,39662684.23738798,1179110000,25,8
41453,101.74,101.74,92.33,94.65000000000001,39662690.28273638,1153880000,34,14
41454,94.66,99.98999999999999,93,94.98999999999999,39662699.17051816,1074010000,28,26
41455,95,98.12,94.22,96.61,39662710.76974368,1078260000,39,10
41456,97.51000000000001,97.66,86.3,88.05,39662724.70260768,1107130000,30,6
41457,88.05,92.3,87.51000000000001,90.13,39662740.31615098,1000070000,37,14
41458,90.41,90.98,76.98,77.53,39662756.69384264,1027160000,28,13
41459,78.89,83.11,72,80.53,39662772.71196166,896693000,25,16
41460,79.98999999999999,80,65.53,68.43000000000001,39662787.12841981,909526000,32,17
41461,68.5,75,66.81999999999999,70.28,39662798.69064073,779255000,35,16
41462,68.75,74.56,66.62,74.56,39662806.2445569,782352000,32,12
41463,76.5,80,72.59999999999999,76.52,39662808.81683252,870912000,32,13
41464,76,78.3,72.52,76.69,39662805.68575283,865585000,30,18
41465,76.72,87,76.2,86.76000000000001,39662796.43688046,874138000,35,8
41466,88,90.28,85.08,88.98,39662781.0107512,1003090000,34,10
41467,88.98,104,88.17,93.59,39662759.72009658,1014640000,31,13
41468,93.98999999999999,98.25,88.06,98.13,39662733.24820958,1072140000,26,18
41469,98.7,98.7,92.86,94.69,39662702.6231842,1126260000,36,14
41470,93.61,101.9,93.11,98.40000000000001,39662669.19086845,1068520000,32,17
41471,98.89,99.86,96.14,97.45,39662634.56738146,1129260000,31,18
41472,96.70999999999999,99.97,96.18000000000001,98.5,39662600.58108295,1104760000,30,15
41473,98.5,98.8,86.2,90.58,39662569.20952179,1125660000,37,11
41474,90.06999999999999,95.2,87.8,92.17,39662542.5049109,1029670000,42,13
41475,92,93.09999999999999,89.27,89.39,39662522.51054467,1052140000,40,18
41476,89.81999999999999,91.95,88,90.76000000000001,39662511.16818114,1027640000,31,14
41477,92,92,90.08,91.61,39662510.23721237,1053000000,29,11
41478,91.59999999999999,96.81999999999999,91.59999999999999,95.56,39662521.21486544,1048820000,29,19
41479,95.56,95.98999999999999,93,94.51000000000001,39662545.26583343,1094490000,37,14
41480,94.5,97.33,93.87,96.90000000000001,39662583.4710713,1082800000,25,14
41481,96.95,97.47,96,96.02,39662636.61258961,1111160000,28,18
41482,96.02,97,93,94.12,39662704.59011235,1100900000,38,23
41483,94.40000000000001,100.58,94,99.76000000000001,39662785.98196545,1082750000,28,18
41484,98.59999999999999,102.5,98.45,101.2,39662877.68853631,1131340000,29,18
41485,101.49,107.99,100.47,107.99,39662974.69175337,1164940000,22,17
41486,107.95,111.34,103.88,106.09,39663070.34573504,1239630000,39,17
41487,106.21,108,103.01,104,39663156.62139171,1220190000,30,14
41488,104.86,108,101.21,104.5,39663224.33599363,1205070000,41,19
41489,104.5,105.78,102,104,39663264.40228423,1201490000,28,18
41490,104.95,105.95,103.52,105.14,39663269.27365123,1207100000,29,16
41491,105.12,107.77,105,106.22,39663234.03862266,1209520000,34,16
41492,106.72,107.38,105.56,106.75,39663157.11948912,1228440000,32,18
41493,106.75,106.75,106.75,106.75,39663040.41595812,1229100000,29,14
41494,106.75,106.75,101.26,103,39662888.55737643,1229100000,36,13
41495,103.07,105.75,101.94,102.8,39662708.6222828,1187920000,32,12
41496,102.8,103.9,102.41,103,39662509.72183696,1185310000,23,15
41497,103,105.19,102.75,105,39662302.80074377,1188150000,30,19
41498,105,108,103.5,106.64,39662099.70980363,1211790000,29,16
41499,106.99,109.35,104.65,109,39661912.61971269,1235340000,25,17
41500,109.56,115,108,112.56,39661753.24739747,1265450000,29,12
41501,112.56,113.25,109,109.99,39661632.78908017,1300660000,25,23
41502,110,112.3,108.52,108.99,39661561.23928468,1271470000,29,15
41503,108.99,113.75,108.22,113.5,39661547.00582875,1260350000,27,10
