username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
betsofbitcoin,2012-04-03 17:44,1,0,"Bet: Gold will be worth less than $2000/oz on Jun 1, 2012 http:// betsofbitco.in/item?id=327 #bitcoin",,,#bitcoin,"187324708792967168",https://twitter.com/betsofbitcoin/status/187324708792967168
Liberationtech,2012-04-03 17:35,1,2,"The Future of Bank Robberies: It’s not so much where is the money but when is the money? http:// is.gd/ze3ESS #BitCoin via @jonmatonis",,@jonmatonis,#BitCoin,"187322548302786560",https://twitter.com/Liberationtech/status/187322548302786560
BitcoinFS,2012-04-03 17:25,0,0,"What the hell is Bitcoin? – ForexLive (blog) http:// j.mp/HX4sq4 #bitcoin",,,#bitcoin,"187319915013873664",https://twitter.com/BitcoinFS/status/187319915013873664
bitcoin_world,2012-04-03 17:22,0,0,"#bitcoin Página española de Bitcoin http:// bit.ly/oaqAf8",,,#bitcoin,"187319245485518848",https://twitter.com/bitcoin_world/status/187319245485518848
bitcointrader,2012-04-03 17:02,0,0,"@rnalexander For BTC/USD trading a FIX-based API w/ https:// bitfloor.com/docs/api & custom API for others. @MtGox has http:// bit.ly/HRoWNL #bitcoin",,@rnalexander @MtGox,#bitcoin,"187314094590803968",https://twitter.com/bitcointrader/status/187314094590803968
BitcoinWatch,2012-04-03 17:00,0,0,"Current BTC value: USD: 5.06/5.40, EUR: 3.80/4.02, GBP: 3.18/3.37, CHF: 4.67/5.01, SLL: 1350/1405 http:// bit.ly/Bitcoin #bitcoin",,,#bitcoin,"187313538015043585",https://twitter.com/BitcoinWatch/status/187313538015043585
ianatmars,2012-04-03 16:37,0,0,"25 FREE #BITCOIN - HURRY @https://www. coinad.com/?r=791eq7 #Retweet4Bitcoin #spon http:// feedzebirds.com/fnbfg",,@https,#BITCOIN #Retweet4Bitcoin #spon,"187307907250012160",https://twitter.com/ianatmars/status/187307907250012160
BitcoinFS,2012-04-03 16:22,0,0,"Bitcoin, the financial traders’ anarchic new toy – Orlando Sentinel http:// j.mp/HWMnsc #bitcoin",,,#bitcoin,"187303981746356226",https://twitter.com/BitcoinFS/status/187303981746356226
bitcoin_trades,2012-04-03 16:13,0,0,"#Bitcoin Rates for BTC/LREUR: bid 3.77, ask 4.90, vol 2.93 -- 04.04.12 01:00 http:// dlvr.it/1PBGwH",,,#Bitcoin,"187301734341820417",https://twitter.com/bitcoin_trades/status/187301734341820417
bitcoin_trades,2012-04-03 16:13,0,0,"#Bitcoin Rates for BTC/RUR_Yandex: bid 135.00, ask 0.00, vol 15.98 -- 04.04.12 01:00 http:// dlvr.it/1PBGtT",,,#Bitcoin,"187301725491830785",https://twitter.com/bitcoin_trades/status/187301725491830785
bitcoinsonebay,2012-04-03 16:12,0,0,"1 Bitcoins / bitcoin http:// goo.gl/fb/yJzb4 #bitcoin",,,#bitcoin,"187301511192264704",https://twitter.com/bitcoinsonebay/status/187301511192264704
TradeBTCBlog,2012-04-03 16:03,0,0,"New blog post: bitcoininfo: Dump of posts http:// ur1.ca/8wdz7 #bitcoin http:// tradebitcoin.us/2012/04/03/bit coininfo-dump-of-posts-httpur1-ca8wdz7-bitcoin/ …",,,#bitcoin,"187299334595944448",https://twitter.com/TradeBTCBlog/status/187299334595944448
TradeBTCBlog,2012-04-03 16:03,0,0,"New blog post: bitcoininfo: Problem Sending Bitcoins http:// ur1.ca/8wejh #bitcoin http:// tradebitcoin.us/2012/04/03/bit coininfo-problem-sending-bitcoins-httpur1-ca8wejh-bitcoin/ …",,,#bitcoin,"187299323632025600",https://twitter.com/TradeBTCBlog/status/187299323632025600
bitcoininfo,2012-04-03 15:48,0,0,"how much will take to sweeze this ? http:// ur1.ca/8wewd #bitcoin",,,#bitcoin,"187295459751100416",https://twitter.com/bitcoininfo/status/187295459751100416
betcoin,2012-04-03 15:24,0,0,"28c3: Bitcoin - An Analysis: http:// bit.ly/yQ7b53 #bitcoin",,,#bitcoin,"187289424508366848",https://twitter.com/betcoin/status/187289424508366848
BitcoinFS,2012-04-03 15:16,0,0,"Bitcoin: a digital currency loved by geeks, scammers, forex traders. – Vancouver Sun http:// j.mp/HQNYMQ #bitcoin",,,#bitcoin,"187287383673282561",https://twitter.com/BitcoinFS/status/187287383673282561
lgoldschmidt,2012-04-03 15:10,0,0,"http:// bit.ly/HLcS22 generate #coupons from #bitcoin",,,#coupons #bitcoin,"187285938144149504",https://twitter.com/lgoldschmidt/status/187285938144149504
BitcoinWatch,2012-04-03 15:00,0,0,"Current BTC value: USD: 4.97/5.41, EUR: 3.74/4.03, GBP: 3.12/3.36, CHF: 4.59/5.02, SLL: 1327/1407 http:// bit.ly/Bitcoin #bitcoin",,,#bitcoin,"187283338711674882",https://twitter.com/BitcoinWatch/status/187283338711674882
bitcoin_trades,2012-04-03 16:13,0,0,"#Bitcoin Rates for BTC/LRUSD: bid 4.40, ask 5.00, vol 88.29 -- 04.04.12 01:00 http:// dlvr.it/1PBGsL",,,#Bitcoin,"187301722354495488",https://twitter.com/bitcoin_trades/status/187301722354495488
imanimakesgames,2012-04-03 16:12,0,0,"25 FREE #BITCOIN - HURRY @https://www. coinad.com/?r=791eq7 #Retweet4Bitcoin #spon http:// feedzebirds.com/fnbfg",,@https,#BITCOIN #Retweet4Bitcoin #spon,"187301589697040384",https://twitter.com/imanimakesgames/status/187301589697040384
TradeBTCBlog,2012-04-03 16:03,0,0,"New blog post: bitcoininfo: Fire Alarms? http:// ur1.ca/8wcxd #bitcoin http:// tradebitcoin.us/2012/04/03/bit coininfo-fire-alarms-httpur1-ca8wcxd-bitcoin/ …",,,#bitcoin,"187299345769570305",https://twitter.com/TradeBTCBlog/status/187299345769570305
madhill,2012-04-03 14:21,0,0,"Finansgutta begynner å interessere seg for BitCoins | Reuters: http:// goo.gl/s7AaN #bitcoin #bitcoins",,,#bitcoin #bitcoins,"187273536191201280",https://twitter.com/madhill/status/187273536191201280
BullBearAnalyst,2012-04-03 14:14,0,0,"$ BCOIN http:// stks.co/3Cue #Bitcoin charts: On the verge to breakout. If so, all time highs at 32 $ could be challenged midterm",,,#Bitcoin,"187271938664693760",https://twitter.com/BullBearAnalyst/status/187271938664693760
bitcoinpoet,2012-04-03 14:10,0,1,"Is bitcoin being shorted??? http:// bit.ly/HPGaim #bitcoin",,,#bitcoin,"187270836363857920",https://twitter.com/bitcoinpoet/status/187270836363857920
bitcoinpoet,2012-04-03 14:10,0,0,"empty blocks and the solo spanish miner http:// bit.ly/HQlbrL #bitcoin",,,#bitcoin,"187270834719703044",https://twitter.com/bitcoinpoet/status/187270834719703044
BitcoinWatch,2012-04-03 14:00,0,0,"Bitcoin prices @VirWoX : USD: 4.93/5.40, EUR: 3.81/4.04, GBP: 3.10/3.37, CHF: 4.56/5.03, SLL: 1327/1409 http:// bit.ly/Bitcoin #bitcoin",,@VirWoX,#bitcoin,"187268239003357186",https://twitter.com/BitcoinWatch/status/187268239003357186
BitcoinMoney,2012-04-03 13:35,2,0,"Just 5 hours left on the monthly http:// BitLotto.com draw. Over 200BTC jackpot. Send only from local wallet & not from an e-wallet #bitcoin",,,#bitcoin,"187262049594769410",https://twitter.com/BitcoinMoney/status/187262049594769410
bitcoinrebate,2012-04-03 13:30,0,0,"Camera wrist strap / hand grip for SLR/DSLR, camcorders and full size digital cameras by St... http:// amzn.to/HI9U1F #bitcoin #rebate #us",,,#bitcoin #rebate #us,"187260751537389569",https://twitter.com/bitcoinrebate/status/187260751537389569
bitcoinpoet,2012-04-03 13:09,0,0,"Musicians, Artists Invited to Put Digital Goods Up for Sale on CoinDL: By Adrianne Jeffries 8:48am A ne... http:// bit.ly/HKxJm6 #bitcoin",,,#bitcoin,"187255433302507521",https://twitter.com/bitcoinpoet/status/187255433302507521
steinhauer,2012-04-03 12:42,0,0,"Bitcoin, the financial traders' anarchic new toy http:// reut.rs/HCgGAT via @reuters . This seems like high potential for disaster. #bitcoin",,@reuters,#bitcoin,"187248635816321024",https://twitter.com/steinhauer/status/187248635816321024
thenychaiku,2012-04-03 12:28,0,0,"Bitcoinica: #bitcoin trading site run by 17-yo Chinese hi-school student #ZhouTong , 2 be "Zhou Tonged" is to be wiped out financially #fetch",,,#bitcoin #ZhouTong #fetch,"187245083651878912",https://twitter.com/thenychaiku/status/187245083651878912
thenychaiku,2012-04-03 12:24,0,0,"Financial traders are playing with #Bitcoin now, in the new "Wild West of Finance" http:// reut.rs/HiBP6N",,,#Bitcoin,"187244269411631104",https://twitter.com/thenychaiku/status/187244269411631104
LiteBitCo,2012-04-03 11:56,0,0,"How To Obtain Financial Privacy Through Using BitCoin http://www. howtovanish.com/2012/04/bitcoi n-how-to-obtain-financial-privacy/ … #bitcoin #litecoin",,,#bitcoin #litecoin,"187237243692384257",https://twitter.com/LiteBitCo/status/187237243692384257
Coinabul,2012-04-03 11:47,0,0,"On the glorification of Bitcoin http:// bit.ly/HHLyVM #bitcoin",,,#bitcoin,"187234857372483585",https://twitter.com/Coinabul/status/187234857372483585
jaromil,2012-04-03 11:34,0,0,"I've published a new article " On the glorification of #Bitcoin " on Bitcoinmedia http:// ur1.ca/8wbub",,,#Bitcoin,"187231737020026880",https://twitter.com/jaromil/status/187231737020026880
Krokodill_G,2012-04-03 11:31,0,0,"Look at this simplified sketch of "*coin hub" - plug and play - connect #exchange , #merchant and #consumer . https:// bitcointalk.org/index.php?topi c=55025.msg833334#msg833334 … #bitcoin",,,#exchange #merchant #consumer #msg833334 #bitcoin,"187230973258240001",https://twitter.com/Krokodill_G/status/187230973258240001
bitcoinsonebay,2012-04-03 11:21,0,0,"LOT 5 X .999 FINE COPPER 1oz ROUND~~BITCOIN~INTRICATE CIRCUITRY DESIGN~AOCS~~NEW http:// goo.gl/fb/6giC8 #bitcoin",,,#bitcoin,"187228421330440193",https://twitter.com/bitcoinsonebay/status/187228421330440193
bitcoin_world,2012-04-03 10:41,0,0,"#bitcoin Foro español de Bitcoin http:// bit.ly/narp3e",,,#bitcoin,"187218233835782144",https://twitter.com/bitcoin_world/status/187218233835782144
RevolutionCS,2012-04-03 10:39,0,0,"@Korgasm_ there are #dispencarys in colorado that take #bitcoin ill be in #boulder420 for the holliday",,@Korgasm_,#dispencarys #bitcoin #boulder420,"187217657077043200",https://twitter.com/RevolutionCS/status/187217657077043200
bitcoin_trades,2012-04-03 10:19,0,0,"#Bitcoin Rates for BTC/LREUR: bid 3.77, ask 4.90, vol 2.93 -- 03.04.12 19:00 http:// dlvr.it/1P7NyZ",,,#Bitcoin,"187212651699503107",https://twitter.com/bitcoin_trades/status/187212651699503107
bitcoin_trades,2012-04-03 10:19,0,0,"#Bitcoin Rates for BTC/RUR_Yandex: bid 135.00, ask 0.00, vol 15.98 -- 03.04.12 19:00 http:// dlvr.it/1P7NxJ",,,#Bitcoin,"187212643730333696",https://twitter.com/bitcoin_trades/status/187212643730333696
MilkenInstitute,2012-04-03 10:15,0,0,"@latimesworld What are the strengths and weaknesses of Bitcoin and how does it work in the global economy? http:// ow.ly/a3k1s #bitcoin",,@latimesworld,#bitcoin,"187211681984823296",https://twitter.com/MilkenInstitute/status/187211681984823296
Mordrul,2012-04-03 10:12,0,0,"I have decided to get involved with #Bitcoin . I have no idea how wise this is. #BTC",,,#Bitcoin #BTC,"187210990293757952",https://twitter.com/Mordrul/status/187210990293757952
bitcoinpoet,2012-04-03 10:08,0,0,"[cryptography] Bitcoin-mining Botnets observed in the wild? (was ...: However, the part about how botne... http:// bit.ly/HlgcyT #bitcoin",,,#bitcoin,"187209873732280320",https://twitter.com/bitcoinpoet/status/187209873732280320
