username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
blockchainbot,2017-07-18 17:59,0,0,"New #bitcoin block 000000000000000000559fa1b553309ab62cf11577725dc18a9eb97de3a27472 mined at height 476455.",,,#bitcoin,"887461940066484225",https://twitter.com/blockchainbot/status/887461940066484225
senseisystem,2017-07-18 17:59,0,0,"Another whale another 1% #bitcoin https:// twitter.com/zerohedge/stat us/887458431686324224 …",,,#bitcoin,"887461932202156032",https://twitter.com/senseisystem/status/887461932202156032
washingtonpst,2017-07-18 17:59,0,1,"Bitcoin Marketing Campaign - http://www. dwightredman.com/bitcoin-market ing-campaign/ … #bitcoin pic.twitter.com/apgKWQT1wu",,,#bitcoin,"887461889634164736",https://twitter.com/washingtonpst/status/887461889634164736
Chinagoods1,2017-07-18 17:59,0,1,"Radeon rx 470 4gb graphics card. #graphiccard #wholesale #China #mining #bitcoin #usa pic.twitter.com/Tf4ufNDA5d",,,#graphiccard #wholesale #China #mining #bitcoin #usa,"887461809246130177",https://twitter.com/Chinagoods1/status/887461809246130177
BitcoinBolt,2017-07-18 17:59,0,0,"☞ Bitcoin, Pot Startups Embrace Regulations to Succeed – Fortune http:// ift.tt/2vgIpIT #bitcoin",,,#bitcoin,"887461791978192896",https://twitter.com/BitcoinBolt/status/887461791978192896
BitcoinBolt,2017-07-18 17:59,0,0,"☞ The Bitcoin Block Clock Jr. Is Half Full Node, Half Work of Art – Bitcoin Magazine http:// ift.tt/2uGEN66 #bitcoin",,,#bitcoin,"887461789209948160",https://twitter.com/BitcoinBolt/status/887461789209948160
JacBurns_Comext,2017-07-18 17:59,57,49,"How #Bitcoin Transactions Work #Blockchain #Fintech #AI #IoT #Bigdata #cryptocurrency #SaaS #DataViz #SMM #Cloud #Digital #Disruption #Tech pic.twitter.com/7FfH2qn9PI",,,#Bitcoin #Blockchain #Fintech #AI #IoT #Bigdata #cryptocurrency #SaaS #DataViz #SMM #Cloud #Digital #Disruption #Tech,"887461751142453249",https://twitter.com/JacBurns_Comext/status/887461751142453249
cropscouting,2017-07-18 17:58,0,0,"The latest The Crop Scouting Report! http:// paper.li/e-1464037174?e dition_id=0c055ac0-6c15-11e7-b326-0cc47a0d15fd … #investing #bitcoin",,,#investing #bitcoin,"887461706108219392",https://twitter.com/cropscouting/status/887461706108219392
crypto_trader,2017-07-18 17:58,0,0,"What Could Happen to Bitcoin? A Visual Guide to Scaling Outcomes. http://www. coindesk.com/happen-bitcoin -visual-guide-scaling-outcomes/ … . #bitcoin #segwit #cryptocurrency",,,#bitcoin #segwit #cryptocurrency,"887461649770319872",https://twitter.com/crypto_trader/status/887461649770319872
alt_bit_coins,2017-07-18 17:58,0,0,"Coindex- Cryptocurrency price tracking on iOS http:// ift.tt/2uA9x7R > http:// bit.ly/cointracking-1 0percent … #bitcoin https://twitter.com/HELPSCOIN/status/887460289846923265/photo/1 pic.twitter.com/loduZF2uvD",,,#bitcoin,"887461603213488128",https://twitter.com/alt_bit_coins/status/887461603213488128
